,end_time,query_time,lock_time,rows_sent,rows_examined,sql_text,thread_id,start_time
4,1695004936191,1.438,0.0,0,0,COMMIT,35650,1695004936189.562
5,1695005206347,1.05,0.0,0,0,COMMIT,35658,1695005206345.95
6,1695005252042,1.012,0.0,0,0,COMMIT,35659,1695005252040.988
7,1695005292694,1.146,0.0,0,0,COMMIT,35652,1695005292692.854
8,1695005368471,2.077,0.089,1,406,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 3\
              AND OL_D_ID = 3\
              AND OL_O_ID < 24578\
              AND OL_O_ID >= 24558\
              AND S_W_ID = 3\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 17",35666,1695005368468.923
9,1695004448579,1.033,0.0,0,0,COMMIT,35667,1695004448577.967
14,1695004586153,1.686,0.0,0,0,COMMIT,35663,1695004586151.314
15,1695004639839,1.059,0.0,0,0,COMMIT,35673,1695004639837.941
16,1695004694637,1.044,0.0,0,0,COMMIT,35670,1695004694635.956
17,1695004744740,1.117,0.0,0,0,COMMIT,35678,1695004744738.883
18,1695005009703,1.467,0.0,0,0,COMMIT,35684,1695005009701.533
19,1695005021824,1.114,0.0,0,0,COMMIT,35685,1695005021822.886
20,1695005146041,1.127,0.0,0,0,COMMIT,35688,1695005146039.873
21,1695005195888,1.216,0.0,0,0,COMMIT,35690,1695005195886.784
22,1695005239718,1.026,0.0,0,0,COMMIT,35691,1695005239716.974
23,1695005303510,1.134,0.0,0,0,COMMIT,35697,1695005303508.866
24,1695005349746,1.114,0.0,0,0,COMMIT,35696,1695005349744.886
25,1695004415021,1.033,0.0,0,0,COMMIT,35698,1695004415019.967
28,1695004514769,1.13,0.0,0,0,COMMIT,35704,1695004514767.87
30,1695004536040,1.116,0.0,0,0,COMMIT,35705,1695004536038.884
32,1695004636971,1.127,0.0,0,0,COMMIT,35709,1695004636969.873
33,1695004751551,1.211,0.0,0,0,COMMIT,35712,1695004751549.789
34,1695004911233,1.138,0.0,0,0,COMMIT,35715,1695004911231.862
35,1695004971063,1.183,0.0,0,0,COMMIT,35713,1695004971061.817
36,1695005153332,1.024,0.0,0,0,COMMIT,35726,1695005153330.976
37,1695005207235,1.017,0.0,0,0,COMMIT,35724,1695005207233.983
38,1695005292821,1.005,0.0,0,0,COMMIT,35733,1695005292819.995
39,1695005294490,1.07,0.0,0,0,COMMIT,35730,1695005294488.93
40,1695004389570,1.031,0.0,0,0,COMMIT,35739,1695004389568.969
41,1695004398224,1.024,0.0,0,0,COMMIT,35737,1695004398222.976
42,1695004460321,1.04,0.0,0,0,COMMIT,35743,1695004460319.96
45,1695004552758,1.143,0.0,0,0,COMMIT,35748,1695004552756.857
47,1695004574865,2.956,0.0,0,0,COMMIT,35738,1695004574862.044
48,1695004575643,1.263,0.0,0,0,COMMIT,35740,1695004575641.737
49,1695004606485,1.12,0.0,0,0,COMMIT,35742,1695004606483.88
50,1695004610988,1.003,0.0,0,0,COMMIT,35749,1695004610986.997
51,1695004670401,1.447,0.0,0,0,COMMIT,35752,1695004670399.553
52,1695004682950,7.963,0.0,0,0,COMMIT,35744,1695004682942.037
53,1695004864297,1.227,0.0,0,0,COMMIT,35760,1695004864295.773
54,1695004926272,1.29,0.0,0,0,COMMIT,35758,1695004926270.71
55,1695004962766,1.38,0.0,0,0,COMMIT,35763,1695004962764.62
56,1695005015237,1.61,0.093,1,356,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 1\
              AND OL_D_ID = 4\
              AND OL_O_ID < 24847\
              AND OL_O_ID >= 24827\
              AND S_W_ID = 1\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 14",35765,1695005015235.39
57,1695005097721,1.518,0.117,1,432,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 3\
              AND OL_D_ID = 4\
              AND OL_O_ID < 24742\
              AND OL_O_ID >= 24722\
              AND S_W_ID = 3\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 11",35768,1695005097719.482
58,1695005201874,1.019,0.0,0,0,COMMIT,35771,1695005201872.981
59,1695005314223,1.035,0.0,0,0,COMMIT,35775,1695005314221.965
60,1695004398739,1.029,0.0,0,0,COMMIT,35772,1695004398737.971
61,1695004407875,1.039,0.0,0,0,ROLLBACK,35773,1695004407873.961
62,1695004408563,1.668,0.0,0,0,COMMIT,35779,1695004408561.332
63,1695004431714,1.188,0.0,0,0,COMMIT,35777,1695004431712.812
66,1695004528222,1.301,0.0,0,0,COMMIT,35776,1695004528220.699
69,1695004606550,1.051,0.0,0,0,COMMIT,35781,1695004606548.949
70,1695004638268,1.183,0.0,0,0,COMMIT,35790,1695004638266.817
71,1695004644946,1.261,0.0,0,0,COMMIT,35783,1695004644944.739
72,1695004654033,2.118,0.091,1,406,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 4\
              AND OL_D_ID = 4\
              AND OL_O_ID < 24366\
              AND OL_O_ID >= 24346\
              AND S_W_ID = 4\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 12",35792,1695004654030.882
73,1695004799577,1.123,0.0,0,0,COMMIT,35798,1695004799575.877
74,1695004912125,1.138,0.0,0,0,COMMIT,35797,1695004912123.862
75,1695004920604,1.641,0.075,1,422,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 4\
              AND OL_D_ID = 1\
              AND OL_O_ID < 24644\
              AND OL_O_ID >= 24624\
              AND S_W_ID = 4\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 13",35803,1695004920602.359
76,1695005127264,1.035,0.0,0,0,COMMIT,35809,1695005127262.965
77,1695005243582,1.131,0.0,0,0,COMMIT,35810,1695005243580.869
78,1695005290260,1.554,0.0,0,0,COMMIT,35813,1695005290258.446
79,1695005351009,1.253,0.0,0,0,COMMIT,35811,1695005351007.747
80,1695005354013,1.403,0.076,12,12,"SELECT OL_SUPPLY_W_ID, OL_I_ID, OL_QUANTITY, OL_AMOUNT, OL_DELIVERY_D FROM order_line WHERE OL_W_ID = 2 AND OL_D_ID = 1 AND OL_O_ID = 23514",35820,1695005354011.597
81,1695004492861,1.035,0.0,0,0,COMMIT,35816,1695004492859.965
82,1695004514252,1.035,0.0,0,0,COMMIT,35824,1695004514250.965
83,1695004533314,1.054,0.0,0,0,COMMIT,35818,1695004533312.946
87,1695004588898,3.842,0.0,0,0,COMMIT,35829,1695004588894.158
88,1695004769571,1.151,0.0,0,0,COMMIT,35831,1695004769569.849
89,1695004823726,1.154,0.0,0,0,COMMIT,35837,1695004823724.846
90,1695004872237,1.013,0.0,0,0,COMMIT,35826,1695004872235.987
91,1695004933632,1.256,0.0,0,0,COMMIT,35834,1695004933630.744
92,1695005034080,1.032,0.0,0,0,COMMIT,35846,1695005034078.968
93,1695005123454,1.216,0.0,0,0,COMMIT,35853,1695005123452.784
94,1695005152641,2.014,0.0,0,0,COMMIT,35839,1695005152638.986
95,1695005197477,1.061,0.0,0,0,COMMIT,35850,1695005197475.939
96,1695005214183,1.008,0.0,0,0,COMMIT,35838,1695005214181.992
97,1695005280218,1.024,0.0,0,0,COMMIT,35841,1695005280216.976
98,1695005343408,1.364,0.077,1,382,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 2\
              AND OL_D_ID = 4\
              AND OL_O_ID < 24475\
              AND OL_O_ID >= 24455\
              AND S_W_ID = 2\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 17",35863,1695005343406.636
99,1695004391843,1.288,0.0,0,0,COMMIT,35858,1695004391841.712
100,1695004399002,1.108,0.0,0,0,COMMIT,35851,1695004399000.892
101,1695004405373,1.07,0.0,0,0,COMMIT,35852,1695004405371.93
102,1695004432210,1.256,0.0,0,0,COMMIT,35865,1695004432208.744
103,1695004485551,1.227,0.0,0,0,COMMIT,35859,1695004485549.773
105,1695004523190,1.597,0.0,0,0,COMMIT,35854,1695004523188.403
107,1695004535393,1.003,0.0,0,0,COMMIT,35855,1695004535391.997
109,1695004556025,1.188,0.0,0,0,COMMIT,35869,1695004556023.812
110,1695004583087,1.374,0.0,0,0,COMMIT,35856,1695004583085.626
111,1695004706868,1.352,0.0,0,0,COMMIT,35864,1695004706866.648
112,1695004781146,1.014,0.0,0,0,COMMIT,35878,1695004781144.986
113,1695004797908,1.148,0.0,0,0,COMMIT,35867,1695004797906.852
114,1695004817462,1.054,0.0,0,0,COMMIT,35873,1695004817460.946
115,1695004829532,1.01,0.0,0,0,COMMIT,35881,1695004829530.99
116,1695004843153,1.007,0.0,0,0,COMMIT,35879,1695004843151.993
117,1695004903716,1.062,0.0,0,0,COMMIT,35868,1695004903714.938
118,1695004932923,1.077,0.0,0,0,COMMIT,35886,1695004932921.923
119,1695004972158,1.666,0.0,0,0,COMMIT,35888,1695004972156.334
120,1695004989708,1.031,0.0,0,0,COMMIT,35876,1695004989706.969
121,1695005007783,1.084,0.0,0,0,COMMIT,35883,1695005007781.916
122,1695005049595,1.076,0.0,0,0,COMMIT,35891,1695005049593.924
123,1695005105243,1.133,0.0,0,0,COMMIT,35893,1695005105241.867
124,1695005112521,1.007,0.0,0,0,COMMIT,35877,1695005112519.993
125,1695005264944,2.134,0.0,0,0,COMMIT,35887,1695005264941.866
126,1695005278065,1.039,0.0,0,0,COMMIT,35892,1695005278063.961
127,1695004387452,1.075,0.0,0,0,COMMIT,35905,1695004387450.925
128,1695004451199,1.018,0.0,0,0,COMMIT,35898,1695004451197.982
129,1695004461648,1.018,0.0,0,0,COMMIT,35906,1695004461646.982
130,1695004484753,1.169,0.0,0,0,COMMIT,35901,1695004484751.831
131,1695004511912,1.426,0.0,0,0,COMMIT,35910,1695004511910.574
136,1695004553341,1.072,0.0,0,0,COMMIT,35902,1695004553339.928
138,1695004580905,1.171,0.0,0,0,COMMIT,35911,1695004580903.829
139,1695004581165,1.005,0.084,1,382,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 4\
              AND OL_D_ID = 3\
              AND OL_O_ID < 24428\
              AND OL_O_ID >= 24408\
              AND S_W_ID = 4\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 12",35914,1695004581163.995
140,1695004672891,1.166,0.0,0,0,COMMIT,35908,1695004672889.834
141,1695004687700,1.636,0.097,1,446,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 1\
              AND OL_D_ID = 8\
              AND OL_O_ID < 24465\
              AND OL_O_ID >= 24445\
              AND S_W_ID = 1\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 16",35921,1695004687698.364
142,1695004752388,1.163,0.0,0,0,COMMIT,35915,1695004752386.837
143,1695004803288,1.09,0.0,0,0,COMMIT,35917,1695004803286.91
144,1695004813476,1.051,0.0,0,0,COMMIT,35927,1695004813474.949
145,1695004843433,1.053,0.0,0,0,COMMIT,35928,1695004843431.947
146,1695004900427,4.972,0.0,0,0,ROLLBACK,35926,1695004900422.028
147,1695004963600,1.141,0.0,0,0,COMMIT,35925,1695004963598.859
148,1695005007150,1.689,0.108,1,468,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 1\
              AND OL_D_ID = 6\
              AND OL_O_ID < 24550\
              AND OL_O_ID >= 24530\
              AND S_W_ID = 1\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 10",35938,1695005007148.311
149,1695005054250,1.197,0.0,0,0,COMMIT,35939,1695005054248.803
150,1695005103827,1.131,0.0,0,0,COMMIT,35937,1695005103825.869
151,1695005132769,1.004,0.0,0,0,COMMIT,35942,1695005132767.996
152,1695004393073,1.047,0.0,0,0,COMMIT,35952,1695004393071.953
154,1695004517004,2.316,0.0,0,0,COMMIT,35957,1695004517001.684
155,1695004530302,1.485,0.0,0,0,COMMIT,35953,1695004530300.515
159,1695004725803,1.031,0.0,0,0,COMMIT,35967,1695004725801.969
160,1695004739774,1.975,0.091,1,408,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 2\
              AND OL_D_ID = 1\
              AND OL_O_ID < 24542\
              AND OL_O_ID >= 24522\
              AND S_W_ID = 2\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 17",35968,1695004739772.025
161,1695004970391,1.211,0.0,0,0,COMMIT,35976,1695004970389.789
162,1695005157815,1.07,0.0,0,0,COMMIT,35979,1695005157813.93
163,1695005213765,1.005,0.0,0,0,COMMIT,35983,1695005213763.995
164,1695005270629,1.408,0.081,1,440,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 2\
              AND OL_D_ID = 10\
              AND OL_O_ID < 24391\
              AND OL_O_ID >= 24371\
              AND S_W_ID = 2\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 10",35987,1695005270627.592
165,1695005357565,1.056,0.0,0,0,COMMIT,35982,1695005357563.944
168,1695004541237,1.073,0.0,0,0,COMMIT,35997,1695004541235.927
171,1695004581971,1.019,0.0,0,0,COMMIT,36000,1695004581969.981
172,1695004615709,1.405,0.092,1,388,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 4\
              AND OL_D_ID = 8\
              AND OL_O_ID < 24632\
              AND OL_O_ID >= 24612\
              AND S_W_ID = 4\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 13",36002,1695004615707.595
173,1695004881531,1.162,0.0,0,0,COMMIT,36005,1695004881529.838
174,1695005042142,1.083,0.0,0,0,COMMIT,36017,1695005042140.917
175,1695005061237,2.447,0.099,1,444,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 3\
              AND OL_D_ID = 5\
              AND OL_O_ID < 24455\
              AND OL_O_ID >= 24435\
              AND S_W_ID = 3\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 12",36018,1695005061234.553
176,1695005117645,1.221,0.0,0,0,COMMIT,36012,1695005117643.779
177,1695004447588,1.026,0.0,0,0,COMMIT,36026,1695004447586.974
181,1695004542492,3.094,0.0,0,0,COMMIT,36037,1695004542488.906
183,1695004553286,1.09,0.0,0,0,COMMIT,36038,1695004553284.91
185,1695004565478,1.052,0.0,0,0,COMMIT,36029,1695004565476.948
186,1695004630268,1.152,0.0,0,0,COMMIT,36025,1695004630266.848
187,1695004699096,1.133,0.0,0,0,COMMIT,36031,1695004699094.867
188,1695004784081,1.057,0.0,0,0,COMMIT,36042,1695004784079.943
189,1695004976995,1.032,0.0,0,0,COMMIT,36056,1695004976993.968
190,1695005109821,1.132,0.0,0,0,COMMIT,36062,1695005109819.868
191,1695005110517,1.753,0.0,0,0,COMMIT,36055,1695005110515.247
192,1695005129234,1.066,0.0,0,0,COMMIT,36063,1695005129232.934
193,1695005150897,1.101,0.0,0,0,COMMIT,36065,1695005150895.899
194,1695005188723,1.013,0.0,0,0,COMMIT,36067,1695005188721.987
195,1695005294869,1.147,0.0,0,0,COMMIT,36071,1695005294867.853
196,1695005354240,1.21,0.0,0,0,COMMIT,36059,1695005354238.79
197,1695005361491,1.669,0.097,1,392,"SELECT COUNT(DISTINCT(OL_I_ID)) FROM order_line, stock\
            WHERE OL_W_ID = 3\
              AND OL_D_ID = 9\
              AND OL_O_ID < 24717\
              AND OL_O_ID >= 24697\
              AND S_W_ID = 3\
              AND S_I_ID = OL_I_ID\
              AND S_QUANTITY < 20",36074,1695005361489.331
198,1695004463547,1.147,0.0,0,0,COMMIT,36076,1695004463545.853
200,1695004541330,1.423,0.0,0,0,COMMIT,36079,1695004541328.577
